,Questions,Answers
1008,which one do you want?,that one. the one that's all black.
1009,that one. the one that's all black.,"yes, i like that one, too."
1010,"yes, i like that one, too.",i'll call him blacky.
1011,my parents go to church every sunday.,they trust in god.
1012,they trust in god.,they hope they will go to heaven.
1013,they hope they will go to heaven.,they probably will.
1014,they probably will.,but no one knows for sure.
1015,but no one knows for sure.,that's for sure.
1016,that's for sure.,no one knows what happens after we die.
1017,no one knows what happens after we die.,"if we are good, we will be happy in heaven with god."
1018,"if we are good, we will be happy in heaven with god.",that's what many people believe.
1019,that's what many people believe.,"if we are bad, we will be unhappy forever in hell."
1020,"if we are bad, we will be unhappy forever in hell.",i don't want to go to hell.
1021,i don't want to go to hell.,let's go to church with your parents on sunday.
1022,my husband died.,i'm sorry for you.
1023,i'm sorry for you.,thank you.
1024,thank you.,when did he die?
1025,when did he die?,a couple of months ago.
1026,a couple of months ago.,you still miss him.
1027,you still miss him.,"yes, but i talk to him almost every day."
1028,"yes, but i talk to him almost every day.",when you go to church?
1029,when you go to church?,"no, when i call him on his cell phone."
1030,"no, when i call him on his cell phone.",what do you mean?
1031,what do you mean?,i buried him with his cell phone.
1032,i buried him with his cell phone.,what will you do when the battery dies?
1033,today is friday the thirteenth.,that's a bad day.
1034,that's a bad day.,it's supposed to be unlucky.
1035,it's supposed to be unlucky.,you're supposed to stay home all day.
1036,you're supposed to stay home all day.,that's what i do.
1037,that's what i do.,my friend stayed in a hotel on friday the thirteenth.
1038,my friend stayed in a hotel on friday the thirteenth.,that was a mistake.
1039,that was a mistake.,he stayed on the thirteenth floor.
1040,he stayed on the thirteenth floor.,what happened?
1041,what happened?,someone stole his laptop.
1042,someone stole his laptop.,he was asking for it.
1043,he was asking for it.,he learned his lesson. he's home today.
1044,do you really love me?,of course.
1045,of course.,prove it.
1046,prove it.,how can i prove it?
1047,how can i prove it?,take me to dinner.
1048,take me to dinner.,that's it? that's all i have to do?
1049,that's it? that's all i have to do?,"take me to a nice restaurant, not to mcdonald's."
1050,"take me to a nice restaurant, not to mcdonald's.",but a nice restaurant costs money.
1051,but a nice restaurant costs money.,"yes, and you have to make a reservation."
1052,"yes, and you have to make a reservation.",that's such a hassle.
1053,that's such a hassle.,i knew you didn't love me.
1054,i knew you didn't love me.,"okay, okay! i'll make a reservation right now."
1055,my parents are divorced.,so are mine.
1056,so are mine.,why did your parents get divorced?
1057,why did your parents get divorced?,my father found a new girlfriend.
1058,my father found a new girlfriend.,that's too bad.
1059,that's too bad.,my mother was hurt and angry.
1060,my mother was hurt and angry.,she had good reason. what did she do?
1061,she had good reason. what did she do?,she told him to drop his girlfriend.
1062,she told him to drop his girlfriend.,what did your father do?
1063,what did your father do?,he moved out of our house.
1064,he moved out of our house.,i guess he really liked his new girlfriend.
1065,i guess he really liked his new girlfriend.,"yes, but she left him a year later."
1066,my grandma's apartment smells funny.,so does mine.
1067,so does mine.,i think it's an old people's smell.
1068,i think it's an old people's smell.,really?
1069,really?,"yes. i think when you get old, you begin to smell."
1070,"yes. i think when you get old, you begin to smell.",like fruit that is too ripe?
1071,like fruit that is too ripe?,"yes, just like fruit that is too ripe."
1072,"yes, just like fruit that is too ripe.",but the smell is different.
1073,but the smell is different.,"yes, old people don't smell like fruit."
1074,"yes, old people don't smell like fruit.","no, they smell like a thrift shop."
1075,"no, they smell like a thrift shop.","yes, a thrift shop has that same smell."
1076,"yes, a thrift shop has that same smell.","yes, an old smell."
1077,the price of stamps goes up and up.,i think stamps used to cost a penny.
1078,i think stamps used to cost a penny.,that was a long time ago.
1079,that was a long time ago.,it was before i was born.
1080,it was before i was born.,now a stamp is 42 cents.
1081,now a stamp is 42 cents.,but in may it will be 44 cents.
1082,but in may it will be 44 cents.,have you ever lost a letter in the mail?
1083,have you ever lost a letter in the mail?,"no, i haven't."
1084,"no, i haven't.",neither have i.
1085,neither have i.,"so, they do a good job for the money."
1086,"so, they do a good job for the money.","yes, they do."
1087,"yes, they do.",maybe we shouldn't complain.
1088,a button came off my shirt.,what are you going to do?
1089,what are you going to do?,"first, i have to find the button."
1090,"first, i have to find the button.",where did you lose it?
1091,where did you lose it?,i have no idea.
1092,i have no idea.,a button is hard to find. did you look in your pant cuffs?
1093,a button is hard to find. did you look in your pant cuffs?,that's a good idea.
1094,that's a good idea.,i found a button in my pant cuffs one time.
1095,i found a button in my pant cuffs one time.,"let me look. no, it's not there."
1096,"let me look. no, it's not there.",many shirts come with an extra button.
1097,many shirts come with an extra button.,you're right. this one does have an extra button.
1098,you're right. this one does have an extra button.,now all you have to do is sew it on.
1099,i have to go to the bathroom.,you drink too much coffee.
1100,you drink too much coffee.,but i love coffee.
1101,but i love coffee.,"well, it's your life."
1102,"well, it's your life.",you eat too much chocolate.
1103,you eat too much chocolate.,i don't think so.
1104,i don't think so.,have you looked in the mirror?
1105,have you looked in the mirror?,do you think i'm getting fat?
1106,do you think i'm getting fat?,i didn't say that.
1107,i didn't say that.,what did you say?
1108,what did you say?,i said i have to go to the bathroom.
1109,i said i have to go to the bathroom.,that's what i thought you said.
1110,did you do the laundry?,"yes, i did."
1111,"yes, i did.",what did you wash?
1112,what did you wash?,i washed the sheets and towels.
1113,i washed the sheets and towels.,what about the pillowcases?
1114,what about the pillowcases?,"yes, i took them off the pillows and washed them."
1115,"yes, i took them off the pillows and washed them.",did you dry everything in the dryer?
1116,did you dry everything in the dryer?,"yes, i dried everything in the dryer."
1117,"yes, i dried everything in the dryer.",then what did you do?
1118,then what did you do?,i folded all the towels.
1119,i folded all the towels.,did you put the sheets on the beds?
1120,did you put the sheets on the beds?,"yes, and i put the pillowcases on the pillows."
1121,do you listen to the radio?,i listen day and night.
1122,i listen day and night.,what do you listen to?
1123,what do you listen to?,mostly talk radio.
1124,mostly talk radio.,what's that?
1125,what's that?,people talk about current events.
1126,people talk about current events.,what do they say?
1127,what do they say?,they say they want change.
1128,they say they want change.,what kind of change?
1129,what kind of change?,they want tax cuts.
1130,they want tax cuts.,why do they want tax cuts?
1131,why do they want tax cuts?,because tax cuts will save them money.
1132,"mom, i'm hungry.",look in the fridge.
1133,look in the fridge.,i'm looking. there's nothing to eat.
1134,i'm looking. there's nothing to eat.,are you sure?
1135,are you sure?,it's almost empty.
1136,it's almost empty.,i went to the market yesterday.
1137,i went to the market yesterday.,i don't see anything.
1138,i don't see anything.,i bought lots of oranges and apples.
1139,i bought lots of oranges and apples.,i don't want fruit. i want something tasty.
1140,i don't want fruit. i want something tasty.,eat the fruit. it's good for you.
1141,eat the fruit. it's good for you.,"next time you go to the market, let me go with you."
1142,"next time you go to the market, let me go with you.","no, thank you. all you want to eat are hot dogs and candy bars."
1143,what is there to eat?,i don't know. look in the fridge.
1144,i don't know. look in the fridge.,i think i'll make a sandwich.
1145,i think i'll make a sandwich.,what kind?
1146,what kind?,a ham sandwich.
1147,a ham sandwich.,the bread is in the cabinet.
1148,the bread is in the cabinet.,where's the mustard?
1149,where's the mustard?,"it's in the fridge, i think."
1150,"it's in the fridge, i think.","oh, yes, here it is. do you want a sandwich?"
1151,"oh, yes, here it is. do you want a sandwich?","yes, that sounds nice."
1152,"yes, that sounds nice.",how about some potato chips?
1153,how about some potato chips?,"yes. and a pickle, if we have any."
1154,"it's time for your bath, young lady.","but, mom, i'm not dirty."
1155,"but, mom, i'm not dirty.",you need a bath every day.
1156,you need a bath every day.,why?
1157,why?,because you don't want to smell bad.
1158,because you don't want to smell bad.,i don't smell bad.
1159,i don't smell bad.,that's what you think.
1160,that's what you think.,"if i smelled bad, i could smell me."
1161,"if i smelled bad, i could smell me.",i can smell you.
1162,i can smell you.,"i can smell you, too."
1163,"i can smell you, too.",that's my perfume.
1164,that's my perfume.,when can i wear perfume?
1165,something's wrong with my computer.,exactly what?
1166,exactly what?,all i get is a black screen.
1167,all i get is a black screen.,what's the matter?
1168,what's the matter?,"i think i know, because this happened before."
1169,"i think i know, because this happened before.",what happened before?
1170,what happened before?,my hard drive crashed.
1171,my hard drive crashed.,"oh, no. that's bad news."
1172,"oh, no. that's bad news.","it sure is, but i'm going to call hp first, just to make sure."
1173,"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?
1174,will you lose all your files?,"no, i always back up my files."
1175,"no, i always back up my files.",you're smart.
1176,i called hp about my computer.,what did they say?
1177,what did they say?,they said i need a new hard drive.
1178,they said i need a new hard drive.,that's too bad. how much is a new one?
1179,that's too bad. how much is a new one?,"it's not too much, only about $85."
1180,"it's not too much, only about $85.",plus installation?
1181,plus installation?,"no, my hard drive is easy to remove and replace."
1182,"no, my hard drive is easy to remove and replace.",really?
1183,really?,"yes, it's just a couple of screws."
1184,"yes, it's just a couple of screws.",that's nice.
1185,that's nice.,it's a lot better than paying someone $60.
1186,it's a lot better than paying someone $60.,"if my hard drive crashes, i'll just call you."
1187,what's your email address?,it's bluedog123.
1188,it's bluedog123.,bluedog123. are you sure that's all?
1189,bluedog123. are you sure that's all?,yes.
1190,yes.,no. that's incomplete.
1191,no. that's incomplete.,what do you mean?
1192,what do you mean?,what's your mailing address?
1193,what's your mailing address?,"456 cherry drive, pasadena, ca 91170."
1194,"456 cherry drive, pasadena, ca 91170.",that's correct.
1195,that's correct.,so what's the problem?
1196,so what's the problem?,"bluedog123 is just the street. you have to give me the city, state, and zip code."
1197,"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com."
1198,i'm going to take a nap.,you should unplug the phone.
1199,you should unplug the phone.,that's a good idea.
1200,that's a good idea.,do you want me to wake you in an hour?
1201,do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up."
1202,"no, thanks. just let me sleep until i wake up.",i'll start dinner at 6:00.
1203,i'll start dinner at 6:00.,okay. i think i'll be awake by then.
1204,okay. i think i'll be awake by then.,"if not, your nose will wake you up."
1205,"if not, your nose will wake you up.",you mean i will smell the food cooking?
1206,you mean i will smell the food cooking?,you might even dream about dinner.
1207,you might even dream about dinner.,i don't think i'm going to dream about anything. i'm really tired.
1208,i don't think i'm going to dream about anything. i'm really tired.,have a nice nap.
1209,that was a nice funeral.,"yes, dad, it was."
1210,"yes, dad, it was.",the son gave a nice speech about his father.
1211,the son gave a nice speech about his father.,"it was long, too."
1212,"it was long, too.",i think it was about 45 minutes long.
1213,i think it was about 45 minutes long.,but it went by fast. it was interesting.
1214,but it went by fast. it was interesting.,i liked it.
1215,i liked it.,"i'll give you a speech like that, too."
1216,"i'll give you a speech like that, too.",do you think anyone will come to my funeral?
1217,do you think anyone will come to my funeral?,of course.
1218,of course.,i think only the family will be there.
1219,i think only the family will be there.,"you have lots of friends. they will be there, too!"
1220,yikes! what was that noise?,i had to blow my nose.
1221,i had to blow my nose.,did you have to blow right next to the phone?
1222,did you have to blow right next to the phone?,did you hear that?
1223,did you hear that?,of course i heard that. i thought a plane had crashed into your house.
1224,of course i heard that. i thought a plane had crashed into your house.,it wasn't that loud.
1225,it wasn't that loud.,"i will blow my nose sometime for you, and you'll see."
1226,"i will blow my nose sometime for you, and you'll see.",okay. i'll take your word for it.
1227,okay. i'll take your word for it.,i thought you had an elephant in your house.
1228,i thought you had an elephant in your house.,you're funny.
1229,you're funny.,what did you say? i think i've gone deaf.
1230,what did you say? i think i've gone deaf.,i'm going into the bathroom to blow my nose. i'll be right back.
1231,i have lots of friends.,really? how many do you have?
1232,really? how many do you have?,"i don't know, maybe one hundred."
1233,"i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?
1234,that is a lot of friends. do you have a best friend?,of course. i have lots of best friends.
1235,of course. i have lots of best friends.,how many best friends do you have?
1236,how many best friends do you have?,i think about twenty-five.
1237,i think about twenty-five.,hmm. i have only one best friend.
1238,hmm. i have only one best friend.,i feel sorry for you.
1239,i feel sorry for you.,i have only a few friends.
1240,i have only a few friends.,you must be lonely. i will share my friends with you.
1241,you must be lonely. i will share my friends with you.,that's very nice of you.
1242,don't you ever cheat on me.,why would i do that?
1243,why would i do that?,because men like to cheat.
1244,because men like to cheat.,"some men do, but not me."
1245,"some men do, but not me.",i'm watching you.
1246,i'm watching you.,i'm an open book. watch me all you want.
1247,i'm an open book. watch me all you want.,"if i catch you, you'll be sorry."
1248,"if i catch you, you'll be sorry.","you won't catch me, because i love you. i'm not a cheater."
1249,"you won't catch me, because i love you. i'm not a cheater.",i will poke your eyes out. 
1250,i will poke your eyes out. ,i don't want any other woman.
1251,i don't want any other woman.,"i will chop your toes off, one by one."
1252,"i will chop your toes off, one by one.","honey, please. you're the only woman for me, forever. i swear it."
1253,i hate to go outside.,me too.
1254,me too.,why do you hate to go outside?
1255,why do you hate to go outside?,i meet too many jerks.
1256,i meet too many jerks.,i agree.
1257,i agree.,this city is full of jerks.
1258,this city is full of jerks.,rude people are everywhere.
1259,rude people are everywhere.,but what can you do?
1260,but what can you do?,you can yell at them.
1261,you can yell at them.,and they will yell back at you.
1262,and they will yell back at you.,yelling doesn't do any good.
1263,yelling doesn't do any good.,no. the best thing to do is just stay home.
1264,will you look at this form?,are you having problems with it?
1265,are you having problems with it?,i don't understand some things.
1266,i don't understand some things.,let me help you.
1267,let me help you.,"what does ""mi"" mean?"
1268,"what does ""mi"" mean?",mi stands for middle initial.
1269,mi stands for middle initial.,"what does ""mm/dd/yy"" mean?"
1270,"what does ""mm/dd/yy"" mean?",that means month/day/year. use numbers.
1271,that means month/day/year. use numbers.,i don't understand.
1272,i don't understand.,"for example, if your birth date is january 12, 1987, write 01/12/87."
1273,"for example, if your birth date is january 12, 1987, write 01/12/87.",oh. that's simple enough.
1274,oh. that's simple enough.,"always print clearly, and fill in the bubbles completely."
1275,let's go to the animal shelter.,what do you want to do?
1276,what do you want to do?,i want to get a puppy for my son.
1277,i want to get a puppy for my son.,that will make him so happy.
1278,that will make him so happy.,i'll get him one of those little dogs.
1279,i'll get him one of those little dogs.,one that won't grow up too big.
1280,one that won't grow up too big.,and eat too much.
1281,and eat too much.,do you know which one he would like?
1282,do you know which one he would like?,"oh, yes, i took him there yesterday. he showed me one that he really liked."
1283,"oh, yes, i took him there yesterday. he showed me one that he really liked.",i bet you had to drag him away.
1284,i bet you had to drag him away.,he wanted to take it home yesterday.
1285,he wanted to take it home yesterday.,i wonder what he'll name it.
1286,what's the weather like?,i don't know. i just woke up.
1287,i don't know. i just woke up.,why don't you look outside?
1288,why don't you look outside?,okay. it looks like rain.
1289,okay. it looks like rain.,why do you say that?
1290,why do you say that?,the sky is gray.
1291,the sky is gray.,is it raining right now?
1292,is it raining right now?,no.
1293,no.,how do you know?
1294,how do you know?,the street isn't wet.
1295,the street isn't wet.,i have to go shopping today.
1296,i have to go shopping today.,you'd better take an umbrella.
1297,i can't believe how hot it is.,it's not even noon yet.
1298,it's not even noon yet.,that means it will get hotter.
1299,that means it will get hotter.,i am dying from the heat.
1300,i am dying from the heat.,turn on the air conditioner.
1301,turn on the air conditioner.,it doesn't work.
1302,it doesn't work.,what happened?
1303,what happened?,i don't know.
1304,i don't know.,did you call the repairman?
1305,did you call the repairman?,of course.
1306,of course.,when is he coming?
1307,when is he coming?,he's busy. he said next week.
1308,i'll be glad when winter comes.,why is that?
1309,why is that?,because i love the snow.
1310,because i love the snow.,"yes, the snow is fun."
1311,"yes, the snow is fun.",last year we made a big snowman.
1312,last year we made a big snowman.,how big was it?
1313,how big was it?,it was seven feet tall.
1314,it was seven feet tall.,how long did it take?
1315,how long did it take?,it took us all day.
1316,it took us all day.,did you give him a nose?
1317,did you give him a nose?,of course. we gave him a big carrot for a nose.
1318,of course. we gave him a big carrot for a nose.,let me help you make one this year.
1319,i'm going to the bank.,what do you need to do?
1320,what do you need to do?,i need to withdraw some money.
1321,i need to withdraw some money.,how are you going to do that?
1322,how are you going to do that?,i'll just use the atm.
1323,i'll just use the atm.,what's that?
1324,what's that?,it's the automatic teller machine.
1325,it's the automatic teller machine.,it gives you money?
1326,it gives you money?,i just insert my debit card into the machine.
1327,i just insert my debit card into the machine.,and it gives you money?
1328,and it gives you money?,"well, it gives me money, but it's my own money."
1329,"well, it gives me money, but it's my own money.",oh. what good is that? i thought it gave you free money.
1330,did you put the blue bin out on the street?,"oh, no. i forgot."
1331,"oh, no. i forgot.","well, you'd better take it out front."
1332,"well, you'd better take it out front.",what time does the recycle truck come by?
1333,what time does the recycle truck come by?,"it usually gets here at noon on tuesday, which is tomorrow."
1334,"it usually gets here at noon on tuesday, which is tomorrow.",i'll just take it out to the street tomorrow morning.
1335,i'll just take it out to the street tomorrow morning.,"oh, no, you don't."
1336,"oh, no, you don't.",what do you mean?
1337,what do you mean?,every morning you get up late and rush off to work late.
1338,every morning you get up late and rush off to work late.,do you think i'll forget to do it?
1339,do you think i'll forget to do it?,"you'll remember to do it, but you won't have time to do it."
1340,"you'll remember to do it, but you won't have time to do it.","okay, i'll take it out front right now."
1341,are you ready?,ready for what?
1342,ready for what?,ready for the big switch.
1343,ready for the big switch.,what are you talking about?
1344,what are you talking about?,the nation is switching to digital tv.
1345,the nation is switching to digital tv.,oh. of course i'm ready.
1346,oh. of course i'm ready.,did you buy the converter?
1347,did you buy the converter?,"no, i don't need a converter because i bought a digital tv."
1348,"no, i don't need a converter because i bought a digital tv.",how much was that?
1349,how much was that?,it was only about $120 for a 13-inch screen.
1350,it was only about $120 for a 13-inch screen.,does it pick up any digital channels?
1351,does it pick up any digital channels?,"oh, yes. i get six korean channels but nothing in english!"
1352,people are funny.,they sure are.
1353,they sure are.,did you hear about the pilot?
1354,did you hear about the pilot?,the one that stole a small plane?
1355,the one that stole a small plane?,"yes, he stole a plane in canada and flew into the u.s."
1356,"yes, he stole a plane in canada and flew into the u.s.",did they catch him?
1357,did they catch him?,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway."
1358,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway.",did he crash?
1359,did he crash?,"no, he just landed the plane and walked to a restaurant."
1360,"no, he just landed the plane and walked to a restaurant.",did the cops find out why he flew into the u.s.?
1361,did the cops find out why he flew into the u.s.?,his life sucked. he was hoping a fighter jet would shoot him down.
1362,his life sucked. he was hoping a fighter jet would shoot him down.,poor guy.
1363,the police need our help finding a robber.,how do you know?
1364,how do you know?,the tv news is reporting a bank robbery.
1365,the tv news is reporting a bank robbery.,do they know what the robber looks like?
1366,do they know what the robber looks like?,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old."
1367,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.",what race is he?
1368,what race is he?,they didn't say.
1369,they didn't say.,the tv news doesn't tell us the race anymore.
1370,the tv news doesn't tell us the race anymore.,of course not. that would be racist.
1371,of course not. that would be racist.,but how can we identify someone if we don't know their race?
1372,but how can we identify someone if we don't know their race?,don't ask me.
1373,don't ask me.,"then they also shouldn't tell us if the robber is male or female, because that is sexist."
1374,don't wipe your nose on your sleeve.,but i don't have a tissue.
1375,but i don't have a tissue.,then go find a tissue in the bathroom.
1376,then go find a tissue in the bathroom.,i didn't have time to get one from there.
1377,i didn't have time to get one from there.,your sleeves are not tissues.
1378,your sleeves are not tissues.,"but mom, all my friends use their sleeves."
1379,"but mom, all my friends use their sleeves.",that doesn't make it right.
1380,that doesn't make it right.,i saw dad wipe his nose on his sleeve yesterday.
1381,i saw dad wipe his nose on his sleeve yesterday.,i will talk to your father about that.
1382,i will talk to your father about that.,i bet dad did it all the time when he was my age.
1383,i bet dad did it all the time when he was my age.,your daddy was a good little boy.
1384,your daddy was a good little boy.,"how do you know? were you his mommy, too?"
1385,i'm worried.,worried about what?
1386,worried about what?,i'm getting married.
1387,i'm getting married.,"you should be happy, not worried."
1388,"you should be happy, not worried.","i am happy, but marriage is a lot of responsibility."
1389,"i am happy, but marriage is a lot of responsibility.","yes, you have to take care of your wife."
1390,"yes, you have to take care of your wife.",and i have to take care of our children.
1391,and i have to take care of our children.,are you going to start a family?
1392,are you going to start a family?,yes. we want to have a little boy and a little girl.
1393,yes. we want to have a little boy and a little girl.,that sounds wonderful.
1394,that sounds wonderful.,except we can't afford it!
1395,except we can't afford it!,no wonder you're worried.
1396,i don't get art.,or artists.
1397,or artists.,they're in a different world.
1398,they're in a different world.,i saw a painting of a jar that was full of pencils.
1399,i saw a painting of a jar that was full of pencils.,the artist said the jar was both full and empty.
1400,the artist said the jar was both full and empty.,but it was full of pencils! how could he say it was empty?
1401,but it was full of pencils! how could he say it was empty?,artists see things differently.
1402,artists see things differently.,did you ever see anything that picasso painted?
1403,did you ever see anything that picasso painted?,of course! he's world famous.
1404,of course! he's world famous.,did he ever take art lessons?
1405,did he ever take art lessons?,i can't believe it. i drew paintings like that in third grade.
1406,i can't believe it. i drew paintings like that in third grade.,where are they? maybe they are worth millions.
1407,what's the point?,the point of what?
1408,the point of what?,of living.
1409,of living.,"who knows? you live, and then you die."
1410,"who knows? you live, and then you die.",we must be here for some reason.
1411,we must be here for some reason.,maybe we're here to have fun.
1412,maybe we're here to have fun.,then why aren't i having fun?
1413,then why aren't i having fun?,because you're thinking too much.
1414,because you're thinking too much.,so i should stop thinking?
1415,so i should stop thinking?,stop thinking about what the point is.
1416,stop thinking about what the point is.,okay. i'll start thinking about having some fun.
1417,okay. i'll start thinking about having some fun.,just be patient. fun doesn't come along every five minutes.
1418,beer is a powerful drug.,so are cigarettes.
1419,so are cigarettes.,which would you prefer?
1420,which would you prefer?,what do you mean?
1421,what do you mean?,"when you die and go to heaven, they will offer you beer or cigarettes."
1422,"when you die and go to heaven, they will offer you beer or cigarettes.",i could pick only one or the other?
1423,i could pick only one or the other?,"yes. nothing's perfect, not even in heaven."
1424,"yes. nothing's perfect, not even in heaven.","boy, that's a tough one."
1425,"boy, that's a tough one.","what's so tough about it? of course, i would pick cigarettes."
1426,"what's so tough about it? of course, i would pick cigarettes.",but cigarettes taste much better when you have a cold beer.
1427,but cigarettes taste much better when you have a cold beer.,"well, you can't have everything."
1428,"well, you can't have everything.",i don't think i want to go to your heaven.
1429,my pants have a hole in the front pocket.,you shouldn't carry pens in your pocket.
1430,you shouldn't carry pens in your pocket.,yesterday a pen fell through my pants onto my shoe.
1431,yesterday a pen fell through my pants onto my shoe.,lucky for you it wasn't a sharp knife.
1432,lucky for you it wasn't a sharp knife.,who carries a sharp knife in their pocket?
1433,who carries a sharp knife in their pocket?,"criminals, of course."
1434,"criminals, of course.","anyway, i have to fix the hole."
1435,"anyway, i have to fix the hole.",you can sew it up or use an iron-on patch.
1436,you can sew it up or use an iron-on patch.,tell me about this patch.
1437,tell me about this patch.,the patch has glue. the hot iron melts the glue so the patch sticks on.
1438,the patch has glue. the hot iron melts the glue so the patch sticks on.,that sounds a lot easier than sewing.
1439,that sounds a lot easier than sewing.,"it is. but after about ten washings, the glue washes off."
1440,do you know any good jokes?,i can't remember jokes.
1441,i can't remember jokes.,neither can i.
1442,neither can i.,they go in one ear and out the other.
1443,they go in one ear and out the other.,who makes up all these jokes?
1444,who makes up all these jokes?,who knows? but there must be a hundred new ones every day.
1445,who knows? but there must be a hundred new ones every day.,"yes, just in english alone."
1446,"yes, just in english alone.",i wonder if every language has jokes.
1447,i wonder if every language has jokes.,of course! people everywhere like good jokes.
1448,of course! people everywhere like good jokes.,what do you think people joke about the most?
1449,what do you think people joke about the most?,i think most jokes are about women.
1450,i think most jokes are about women.,"oh, really? i think most jokes are about men!"
1451,you're very lucky.,why do you say that?
1452,why do you say that?,you speak two languages.
1453,you speak two languages.,"well, my english isn't perfect."
1454,"well, my english isn't perfect.",no one speaks perfect english.
1455,no one speaks perfect english.,maybe i will be the first!
1456,maybe i will be the first!,i've been thinking about learning spanish.
1457,i've been thinking about learning spanish.,spanish is easy. i'll be happy to teach you.
1458,spanish is easy. i'll be happy to teach you.,how long will it take me to learn?
1459,how long will it take me to learn?,i think it will only take you a year or two.
1460,i think it will only take you a year or two.,how soon can we begin?
1461,how soon can we begin?,ahora! that means right now.
1462,do you know what today is?,"yes, it's april 22."
1463,"yes, it's april 22.",it's more than just a date.
1464,it's more than just a date.,is it your birthday or anniversary?
1465,is it your birthday or anniversary?,"no, it's earth day."
1466,"no, it's earth day.",what's that?
1467,what's that?,it's a yearly reminder to take care of our planet.
1468,it's a yearly reminder to take care of our planet.,"oh, you mean like reuse things and recycle stuff?"
1469,"oh, you mean like reuse things and recycle stuff?","yes. we need to think green, save water, and stop using plastic bags."
1470,"yes. we need to think green, save water, and stop using plastic bags.",how about if i take shorter showers?
1471,how about if i take shorter showers?,"that's a good idea, because showers waste a lot of water."
1472,"that's a good idea, because showers waste a lot of water.",from now on i'll spend only 20 minutes in the shower.
1473,poetry sucks.,i don't know anyone who likes it.
1474,i don't know anyone who likes it.,"some of it is okay, i guess."
1475,"some of it is okay, i guess.","yes, the poems that rhyme and are easy to remember."
1476,"yes, the poems that rhyme and are easy to remember.","like ""one, two, buckle my shoe."""
1477,"like ""one, two, buckle my shoe.""",but people still write poems.
1478,but people still write poems.,no one makes any money at it.
1479,no one makes any money at it.,shakespeare was a poet.
1480,shakespeare was a poet.,did he get rich from his poetry?
1481,did he get rich from his poetry?,probably not.
1482,probably not.,poems are a little bit like songs.
1483,poems are a little bit like songs.,"yes, but songs have music. without music, songs would suck, too."
1484,how smart are you?,i don't know. i think i'm average.
1485,i don't know. i think i'm average.,did you ever take an iq test?
1486,did you ever take an iq test?,"no, i never did. all i know is that i got a's and b's in school."
1487,"no, i never did. all i know is that i got a's and b's in school.",i wish i was really smart.
1488,i wish i was really smart.,don't be ridiculous.
1489,don't be ridiculous.,what do you mean?
1490,what do you mean?,"if you're going to make a wish, wish that you were really rich or famous."
1491,"if you're going to make a wish, wish that you were really rich or famous.",don't you ever wonder what it's like to be super-smart?
1492,don't you ever wonder what it's like to be super-smart?,it must be very lonely.
1493,it must be very lonely.,why's that?
1494,why's that?,"because if you're super-smart, no one understands what you're saying."
1495,i missed the tv news last night. what was on?,nothing that would pass as news.
1496,nothing that would pass as news.,what's the weather going to be like this weekend?
1497,what's the weather going to be like this weekend?,"i don't know. whenever the weather comes on, i switch channels."
1498,"i don't know. whenever the weather comes on, i switch channels.",what was the lead story on the news?
1499,what was the lead story on the news?,some actress was in court for driving without a license.
1500,some actress was in court for driving without a license.,what was the second story?
1501,what was the second story?,some actor married a woman young enough to be his daughter.
1502,some actor married a woman young enough to be his daughter.,what was the third story?
1503,what was the third story?,a bull chased a man in a supermarket.
1504,a bull chased a man in a supermarket.,wasn't there anything about octo-mom?
1505,wasn't there anything about octo-mom?,of course. she's going to hire a nanny for her eight infants.
1506,what are you going to do about your death?,"well, mostly i'll try to avoid it."
1507,"well, mostly i'll try to avoid it.","i mean, are you going to get buried or cremated?"
1508,"i mean, are you going to get buried or cremated?",my wife and i will be cremated.
1509,my wife and i will be cremated.,are you going to be buried next to each other?
1510,are you going to be buried next to each other?,"oh, no. our ashes will be shaken into the ocean."
1511,"oh, no. our ashes will be shaken into the ocean.",you're not going to be buried?
1512,you're not going to be buried?,a coffin costs too much and takes up too much space.
1513,a coffin costs too much and takes up too much space.,"yes, but it will be in a cemetery where your children can visit you."
1514,"yes, but it will be in a cemetery where your children can visit you.",children seldom visit their parents in a cemetery.
1515,children seldom visit their parents in a cemetery.,"that's true. a cemetery is for dead people, not living people."
1516,"that's true. a cemetery is for dead people, not living people.",we figure our kids can visit us whenever they go to the beach.
1517,did you wipe your feet? ,"yes, of course i wiped my feet."
1518,"yes, of course i wiped my feet.",then why is there mud on the carpet?
1519,then why is there mud on the carpet?,i don't know. it's not my mud.
1520,i don't know. it's not my mud.,"well, someone brought it into the house."
1521,"well, someone brought it into the house.",look at the bottom of my shoesÂ—they're clean.
1522,look at the bottom of my shoesÂ—they're clean.,of course they're clean. you left all the mud on the carpet.
1523,of course they're clean. you left all the mud on the carpet.,"okay, i'll get the vacuum cleaner."
